Date,Usage,hour,day_of_week,Usage_scaled,t-1,t-2,t-3
2026-01-02 15:00:00,3.1,15,4,0.6161137440758294,3.03,3.06,3.13
2026-01-02 16:00:00,2.9,16,4,0.5687203791469194,3.1,3.03,3.06
2026-01-02 17:00:00,2.42,17,4,0.4549763033175356,2.9,3.1,3.03
2026-01-02 18:00:00,1.98,18,4,0.35071090047393366,2.42,2.9,3.1
2026-01-02 19:00:00,1.55,19,4,0.24881516587677727,1.98,2.42,2.9
2026-01-02 20:00:00,0.95,20,4,0.10663507109004738,1.55,1.98,2.42
2026-01-02 21:00:00,0.8,21,4,0.07109004739336494,0.95,1.55,1.98
2026-01-02 22:00:00,0.61,22,4,0.026066350710900466,0.8,0.95,1.55
2026-01-02 23:00:00,0.76,23,4,0.061611374407582936,0.61,0.8,0.95
2026-01-03 00:00:00,1.37,0,5,0.2061611374407583,0.76,0.61,0.8
2026-01-03 01:00:00,1.0,1,5,0.11848341232227488,1.37,0.76,0.61
2026-01-03 02:00:00,1.57,2,5,0.25355450236966826,1.0,1.37,0.76
2026-01-03 03:00:00,1.66,3,5,0.27488151658767773,1.57,1.0,1.37
2026-01-03 04:00:00,1.91,4,5,0.3341232227488152,1.66,1.57,1.0
2026-01-03 05:00:00,2.53,5,5,0.48104265402843593,1.91,1.66,1.57
2026-01-03 06:00:00,3.01,6,5,0.5947867298578199,2.53,1.91,1.66
2026-01-03 07:00:00,3.195,7,5,0.6386255924170616,3.01,2.53,1.91
2026-01-03 08:00:00,3.38,8,5,0.6824644549763033,3.195,3.01,2.53
2026-01-03 09:00:00,3.8,9,5,0.7819905213270142,3.38,3.195,3.01
2026-01-03 10:00:00,4.17,10,5,0.8696682464454977,3.8,3.38,3.195
2026-01-03 11:00:00,4.44,11,5,0.9336492890995263,4.17,3.8,3.38
2026-01-03 12:00:00,4.2,12,5,0.8767772511848342,4.44,4.17,3.8
2026-01-03 13:00:00,4.21,13,5,0.8791469194312796,4.2,4.44,4.17
2026-01-03 14:00:00,3.88,14,5,0.8009478672985781,4.21,4.2,4.44
2026-01-03 15:00:00,3.62,15,5,0.7393364928909953,3.88,4.21,4.2
2026-01-03 16:00:00,3.71,16,5,0.7606635071090048,3.62,3.88,4.21
2026-01-03 17:00:00,3.46,17,5,0.7014218009478673,3.71,3.62,3.88
2026-01-03 18:00:00,2.79,18,5,0.542654028436019,3.46,3.71,3.62
2026-01-03 19:00:00,2.61,19,5,0.5,2.79,3.46,3.71
2026-01-03 20:00:00,2.12,20,5,0.3838862559241707,2.61,2.79,3.46
2026-01-03 21:00:00,1.61,21,5,0.2630331753554503,2.12,2.61,2.79
2026-01-03 22:00:00,1.57,22,5,0.25355450236966826,1.61,2.12,2.61
2026-01-03 23:00:00,1.66,23,5,0.27488151658767773,1.57,1.61,2.12
2026-01-04 00:00:00,1.29,0,6,0.1872037914691943,1.66,1.57,1.61
2026-01-04 01:00:00,1.66,1,6,0.27488151658767773,1.29,1.66,1.57
2026-01-04 02:00:00,0.98,2,6,0.1137440758293839,1.66,1.29,1.66
2026-01-04 03:00:00,1.525,3,6,0.2428909952606635,0.98,1.66,1.29
2026-01-04 04:00:00,2.07,4,6,0.3720379146919431,1.525,0.98,1.66
2026-01-04 05:00:00,2.35,5,6,0.4383886255924171,2.07,1.525,0.98
2026-01-04 06:00:00,2.82,6,6,0.5497630331753555,2.35,2.07,1.525
2026-01-04 07:00:00,2.79,7,6,0.542654028436019,2.82,2.35,2.07
2026-01-04 08:00:00,3.51,8,6,0.7132701421800948,2.79,2.82,2.35
2026-01-04 09:00:00,3.93,9,6,0.8127962085308057,3.51,2.79,2.82
2026-01-04 10:00:00,4.39,10,6,0.9218009478672986,3.93,3.51,2.79
2026-01-04 11:00:00,4.15,11,6,0.8649289099526067,4.39,3.93,3.51
2026-01-04 12:00:00,4.14,12,6,0.862559241706161,4.15,4.39,3.93
2026-01-04 13:00:00,4.21,13,6,0.8791469194312796,4.14,4.15,4.39
2026-01-04 14:00:00,4.28,14,6,0.8957345971563981,4.21,4.14,4.15
2026-01-04 15:00:00,3.93,15,6,0.8127962085308057,4.28,4.21,4.14
2026-01-04 16:00:00,3.44,16,6,0.6966824644549763,3.93,4.28,4.21
2026-01-04 17:00:00,3.29,17,6,0.6611374407582938,3.44,3.93,4.28
2026-01-04 18:00:00,2.82,18,6,0.5497630331753555,3.29,3.44,3.93
2026-01-04 19:00:00,2.61,19,6,0.5,2.82,3.29,3.44
2026-01-04 20:00:00,2.1399999999999997,20,6,0.3886255924170615,2.61,2.82,3.29
2026-01-04 21:00:00,1.67,21,6,0.2772511848341232,2.1399999999999997,2.61,2.82
2026-01-04 22:00:00,1.42,22,6,0.21800947867298576,1.67,2.1399999999999997,2.61
2026-01-04 23:00:00,1.06,23,6,0.1327014218009479,1.42,1.67,2.1399999999999997
2026-01-05 00:00:00,0.56,0,0,0.014218009478672994,1.06,1.42,1.67
2026-01-05 01:00:00,0.6,1,0,0.02369668246445497,0.56,1.06,1.42
2026-01-05 02:00:00,0.7,2,0,0.04739336492890994,0.6,0.56,1.06
2026-01-05 03:00:00,0.89,3,0,0.09241706161137442,0.7,0.6,0.56
2026-01-05 04:00:00,0.97,4,0,0.11137440758293837,0.89,0.7,0.6
2026-01-05 05:00:00,1.53,5,0,0.24407582938388628,0.97,0.89,0.7
2026-01-05 06:00:00,1.93,6,0,0.33886255924170616,1.53,0.97,0.89
2026-01-05 07:00:00,2.23,7,0,0.40995260663507105,1.93,1.53,0.97
2026-01-05 08:00:00,2.72,8,0,0.5260663507109006,2.23,1.93,1.53
2026-01-05 09:00:00,3.14,9,0,0.6255924170616114,2.72,2.23,1.93
2026-01-05 10:00:00,3.68,10,0,0.7535545023696683,3.14,2.72,2.23
2026-01-05 11:00:00,3.48,11,0,0.7061611374407583,3.68,3.14,2.72
2026-01-05 12:00:00,3.455,12,0,0.7002369668246445,3.48,3.68,3.14
2026-01-05 13:00:00,3.43,13,0,0.6943127962085308,3.455,3.48,3.68
2026-01-05 14:00:00,2.92,14,0,0.5734597156398105,3.43,3.455,3.48
2026-01-05 15:00:00,3.06,15,0,0.6066350710900474,2.92,3.43,3.455
2026-01-05 16:00:00,2.76,16,0,0.5355450236966824,3.06,2.92,3.43
2026-01-05 17:00:00,2.88,17,0,0.5639810426540284,2.76,3.06,2.92
2026-01-05 18:00:00,1.96,18,0,0.3459715639810427,2.88,2.76,3.06
2026-01-05 19:00:00,1.67,19,0,0.2772511848341232,1.96,2.88,2.76
2026-01-05 20:00:00,1.24,20,0,0.1753554502369668,1.67,1.96,2.88
2026-01-05 21:00:00,0.71,21,0,0.04976303317535544,1.24,1.67,1.96
2026-01-05 22:00:00,0.705,22,0,0.0485781990521327,0.71,1.24,1.67
2026-01-05 23:00:00,0.7,23,0,0.04739336492890994,0.705,0.71,1.24
2026-01-06 00:00:00,0.66,0,1,0.037914691943127965,0.7,0.705,0.71
2026-01-06 01:00:00,0.5,1,1,0.0,0.66,0.7,0.705
2026-01-06 02:00:00,0.98,2,1,0.1137440758293839,0.5,0.66,0.7
2026-01-06 03:00:00,0.66,3,1,0.037914691943127965,0.98,0.5,0.66
2026-01-06 04:00:00,1.37,4,1,0.2061611374407583,0.66,0.98,0.5
2026-01-06 05:00:00,2.05,5,1,0.3672985781990521,1.37,0.66,0.98
2026-01-06 06:00:00,1.8,6,1,0.3080568720379147,2.05,1.37,0.66
2026-01-06 07:00:00,2.27,7,1,0.41943127962085314,1.8,2.05,1.37
2026-01-06 08:00:00,2.77,8,1,0.537914691943128,2.27,1.8,2.05
2026-01-06 09:00:00,2.96,9,1,0.5829383886255924,2.77,2.27,1.8
2026-01-06 10:00:00,2.99,10,1,0.590047393364929,2.96,2.77,2.27
2026-01-06 11:00:00,3.46,11,1,0.7014218009478673,2.99,2.96,2.77
2026-01-06 12:00:00,3.29,12,1,0.6611374407582938,3.46,2.99,2.96
2026-01-06 13:00:00,3.205,13,1,0.6409952606635071,3.29,3.46,2.99
2026-01-06 14:00:00,3.12,14,1,0.6208530805687205,3.205,3.29,3.46
2026-01-06 15:00:00,3.37,15,1,0.6800947867298579,3.12,3.205,3.29
2026-01-06 16:00:00,2.59,16,1,0.49526066350710896,3.37,3.12,3.205
2026-01-06 17:00:00,2.32,17,1,0.4312796208530806,2.59,3.37,3.12
2026-01-06 18:00:00,2.16,18,1,0.39336492890995267,2.32,2.59,3.37
2026-01-06 19:00:00,1.37,19,1,0.2061611374407583,2.16,2.32,2.59
2026-01-06 20:00:00,1.3,20,1,0.18957345971563982,1.37,2.16,2.32
2026-01-06 21:00:00,1.2,21,1,0.16587677725118483,1.3,1.37,2.16
2026-01-06 22:00:00,0.5,22,1,0.0,1.2,1.3,1.37
2026-01-06 23:00:00,0.59,23,1,0.021327014218009477,0.5,1.2,1.3
2026-01-07 00:00:00,0.55,0,2,0.0118483412322275,0.59,0.5,1.2
2026-01-07 01:00:00,0.525,1,2,0.00592417061611375,0.55,0.59,0.5
2026-01-07 02:00:00,0.5,2,2,0.0,0.525,0.55,0.59
2026-01-07 03:00:00,0.68,3,2,0.04265402843601898,0.5,0.525,0.55
2026-01-07 04:00:00,1.35,4,2,0.20142180094786732,0.68,0.5,0.525
2026-01-07 05:00:00,1.67,5,2,0.2772511848341232,1.35,0.68,0.5
2026-01-07 06:00:00,2.05,6,2,0.3672985781990521,1.67,1.35,0.68
2026-01-07 07:00:00,2.46,7,2,0.46445497630331756,2.05,1.67,1.35
2026-01-07 08:00:00,2.61,8,2,0.5,2.46,2.05,1.67
2026-01-07 09:00:00,3.11,9,2,0.6184834123222749,2.61,2.46,2.05
2026-01-07 10:00:00,3.36,10,2,0.6777251184834123,3.11,2.61,2.46
2026-01-07 11:00:00,3.31,11,2,0.6658767772511849,3.36,3.11,2.61
2026-01-07 12:00:00,3.87,12,2,0.7985781990521328,3.31,3.36,3.11
2026-01-07 13:00:00,3.54,13,2,0.7203791469194313,3.87,3.31,3.36
2026-01-07 14:00:00,3.06,14,2,0.6066350710900474,3.54,3.87,3.31
2026-01-07 15:00:00,2.81,15,2,0.54739336492891,3.06,3.54,3.87
2026-01-07 16:00:00,2.56,16,2,0.48815165876777256,2.81,3.06,3.54
2026-01-07 17:00:00,2.55,17,2,0.485781990521327,2.56,2.81,3.06
2026-01-07 18:00:00,2.23,18,2,0.40995260663507105,2.55,2.56,2.81
2026-01-07 19:00:00,1.45,19,2,0.22511848341232227,2.23,2.55,2.56
2026-01-07 20:00:00,1.44,20,2,0.22274881516587675,1.45,2.23,2.55
2026-01-07 21:00:00,1.02,21,2,0.12322274881516587,1.44,1.45,2.23
2026-01-07 22:00:00,0.87,22,2,0.0876777251184834,1.02,1.44,1.45
2026-01-07 23:00:00,0.93,23,2,0.10189573459715642,0.87,1.02,1.44
2026-01-08 00:00:00,0.5,0,3,0.0,0.93,0.87,1.02
2026-01-08 01:00:00,0.5,1,3,0.0,0.5,0.93,0.87
2026-01-08 02:00:00,0.52,2,3,0.0047393364928910026,0.5,0.5,0.93
2026-01-08 03:00:00,0.78,3,3,0.06635071090047395,0.52,0.5,0.5
2026-01-08 04:00:00,1.23,4,3,0.17298578199052134,0.78,0.52,0.5
2026-01-08 05:00:00,1.68,5,3,0.2796208530805687,1.23,0.78,0.52
2026-01-08 06:00:00,2.06,6,3,0.3696682464454977,1.68,1.23,0.78
2026-01-08 07:00:00,2.55,7,3,0.485781990521327,2.06,1.68,1.23
2026-01-08 08:00:00,2.75,8,3,0.533175355450237,2.55,2.06,1.68
2026-01-08 09:00:00,3.35,9,3,0.6753554502369669,2.75,2.55,2.06
2026-01-08 10:00:00,3.25,10,3,0.6516587677725119,3.35,2.75,2.55
2026-01-08 11:00:00,3.99,11,3,0.8270142180094787,3.25,3.35,2.75
2026-01-08 12:00:00,3.63,12,3,0.7417061611374407,3.99,3.25,3.35
2026-01-08 13:00:00,3.28,13,3,0.6587677725118483,3.63,3.99,3.25
2026-01-08 14:00:00,3.08,14,3,0.6113744075829384,3.28,3.63,3.99
2026-01-08 15:00:00,3.16,15,3,0.6303317535545024,3.08,3.28,3.63
2026-01-08 16:00:00,2.71,16,3,0.523696682464455,3.16,3.08,3.28
2026-01-08 17:00:00,2.53,17,3,0.48104265402843593,2.71,3.16,3.08
2026-01-08 18:00:00,2.065,18,3,0.37085308056872035,2.53,2.71,3.16
2026-01-08 19:00:00,1.6,19,3,0.26066350710900477,2.065,2.53,2.71
2026-01-08 20:00:00,1.08,20,3,0.1374407582938389,1.6,2.065,2.53
2026-01-08 21:00:00,0.64,21,3,0.033175355450236976,1.08,1.6,2.065
2026-01-08 22:00:00,0.61,22,3,0.026066350710900466,0.64,1.08,1.6
2026-01-08 23:00:00,0.72,23,3,0.05213270142180093,0.61,0.64,1.08
2026-01-09 00:00:00,0.54,0,4,0.009478672985782005,0.72,0.61,0.64
2026-01-09 01:00:00,0.5,1,4,0.0,0.54,0.72,0.61
2026-01-09 02:00:00,0.74,2,4,0.05687203791469195,0.5,0.54,0.72
2026-01-09 03:00:00,1.02,3,4,0.12322274881516587,0.74,0.5,0.54
2026-01-09 04:00:00,1.07,4,4,0.13507109004739337,1.02,0.74,0.5
2026-01-09 05:00:00,1.64,5,4,0.2701421800947867,1.07,1.02,0.74
2026-01-09 06:00:00,2.01,6,4,0.3578199052132701,1.64,1.07,1.02
2026-01-09 07:00:00,2.16,7,4,0.39336492890995267,2.01,1.64,1.07
2026-01-09 08:00:00,2.82,8,4,0.5497630331753555,2.16,2.01,1.64
2026-01-09 09:00:00,3.17,9,4,0.6327014218009479,2.82,2.16,2.01
2026-01-09 10:00:00,3.52,10,4,0.7156398104265403,3.17,2.82,2.16
2026-01-09 11:00:00,3.66,11,4,0.7488151658767773,3.52,3.17,2.82
2026-01-09 12:00:00,3.22,12,4,0.6445497630331755,3.66,3.52,3.17
2026-01-09 13:00:00,3.26,13,4,0.6540284360189573,3.22,3.66,3.52
2026-01-09 14:00:00,3.4,14,4,0.6872037914691943,3.26,3.22,3.66
2026-01-09 15:00:00,3.16,15,4,0.6303317535545024,3.4,3.26,3.22
2026-01-09 16:00:00,2.85,16,4,0.556872037914692,3.16,3.4,3.26
2026-01-09 17:00:00,3.16,17,4,0.6303317535545024,2.85,3.16,3.4
2026-01-09 18:00:00,2.11,18,4,0.3815165876777251,3.16,2.85,3.16
2026-01-09 19:00:00,1.84,19,4,0.3175355450236967,2.11,3.16,2.85
2026-01-09 20:00:00,1.455,20,4,0.22630331753554506,1.84,2.11,3.16
2026-01-09 21:00:00,1.07,21,4,0.13507109004739337,1.455,1.84,2.11
2026-01-09 22:00:00,0.64,22,4,0.033175355450236976,1.07,1.455,1.84
2026-01-09 23:00:00,0.7,23,4,0.04739336492890994,0.64,1.07,1.455
2026-01-10 00:00:00,1.15,0,5,0.15402843601895733,0.7,0.64,1.07
2026-01-10 01:00:00,1.3,1,5,0.18957345971563982,1.15,0.7,0.64
2026-01-10 02:00:00,1.4,2,5,0.21327014218009477,1.3,1.15,0.7
2026-01-10 03:00:00,1.76,3,5,0.29857819905213273,1.4,1.3,1.15
2026-01-10 04:00:00,2.51,4,5,0.476303317535545,1.76,1.4,1.3
2026-01-10 05:00:00,2.04,5,5,0.36492890995260663,2.51,1.76,1.4
2026-01-10 06:00:00,2.94,6,5,0.5781990521327014,2.04,2.51,1.76
2026-01-10 07:00:00,2.87,7,5,0.561611374407583,2.94,2.04,2.51
2026-01-10 08:00:00,3.46,8,5,0.7014218009478673,2.87,2.94,2.04
2026-01-10 09:00:00,4.08,9,5,0.8483412322274881,3.46,2.87,2.94
2026-01-10 10:00:00,4.11,10,5,0.8554502369668248,4.08,3.46,2.87
2026-01-10 11:00:00,4.03,11,5,0.8364928909952607,4.11,4.08,3.46
2026-01-10 12:00:00,4.16,12,5,0.8672985781990522,4.03,4.11,4.08
2026-01-10 13:00:00,4.38,13,5,0.919431279620853,4.16,4.03,4.11
2026-01-10 14:00:00,3.95,14,5,0.8175355450236967,4.38,4.16,4.03
2026-01-10 15:00:00,3.9,15,5,0.8056872037914692,3.95,4.38,4.16
2026-01-10 16:00:00,3.56,16,5,0.7251184834123223,3.9,3.95,4.38
2026-01-10 17:00:00,3.06,17,5,0.6066350710900474,3.56,3.9,3.95
2026-01-10 18:00:00,2.8,18,5,0.5450236966824644,3.06,3.56,3.9
2026-01-10 19:00:00,2.54,19,5,0.4834123222748815,2.8,3.06,3.56
2026-01-10 20:00:00,1.64,20,5,0.2701421800947867,2.54,2.8,3.06
2026-01-10 21:00:00,1.78,21,5,0.3033175355450237,1.64,2.54,2.8
2026-01-10 22:00:00,1.37,22,5,0.2061611374407583,1.78,1.64,2.54
2026-01-10 23:00:00,1.52,23,5,0.24170616113744076,1.37,1.78,1.64
2026-01-11 00:00:00,1.14,0,6,0.1516587677725118,1.52,1.37,1.78
2026-01-11 01:00:00,1.33,1,6,0.19668246445497634,1.14,1.52,1.37
2026-01-11 02:00:00,1.6,2,6,0.26066350710900477,1.33,1.14,1.52
2026-01-11 03:00:00,1.91,3,6,0.3341232227488152,1.6,1.33,1.14
2026-01-11 04:00:00,1.81,4,6,0.31042654028436023,1.91,1.6,1.33
2026-01-11 05:00:00,2.34,5,6,0.4360189573459715,1.81,1.91,1.6
2026-01-11 06:00:00,2.71,6,6,0.523696682464455,2.34,1.81,1.91
2026-01-11 07:00:00,3.06,7,6,0.6066350710900474,2.71,2.34,1.81
2026-01-11 08:00:00,3.9,8,6,0.8056872037914692,3.06,2.71,2.34
2026-01-11 09:00:00,3.94,9,6,0.8151658767772512,3.9,3.06,2.71
2026-01-11 10:00:00,4.185,10,6,0.8732227488151658,3.94,3.9,3.06
2026-01-11 11:00:00,4.43,11,6,0.9312796208530805,4.185,3.94,3.9
2026-01-11 12:00:00,4.72,12,6,1.0,4.43,4.185,3.94
2026-01-11 13:00:00,4.46,13,6,0.938388625592417,4.72,4.43,4.185
2026-01-11 14:00:00,3.8,14,6,0.7819905213270142,4.46,4.72,4.43
2026-01-11 15:00:00,3.76,15,6,0.7725118483412322,3.8,4.46,4.72
2026-01-11 16:00:00,3.8,16,6,0.7819905213270142,3.76,3.8,4.46
2026-01-11 17:00:00,3.05,17,6,0.6042654028436019,3.8,3.76,3.8
2026-01-11 18:00:00,2.89,18,6,0.566350710900474,3.05,3.8,3.76
2026-01-11 19:00:00,2.57,19,6,0.490521327014218,2.89,3.05,3.8
2026-01-11 20:00:00,1.86,20,6,0.32227488151658773,2.57,2.89,3.05
2026-01-11 21:00:00,1.73,21,6,0.2914691943127962,1.86,2.57,2.89
2026-01-11 22:00:00,0.85,22,6,0.08293838862559241,1.73,1.86,2.57
2026-01-11 23:00:00,1.15,23,6,0.15402843601895733,0.85,1.73,1.86
2026-01-12 00:00:00,0.5,0,0,0.0,1.15,0.85,1.73
2026-01-12 01:00:00,0.765,1,0,0.0627962085308057,0.5,1.15,0.85
2026-01-12 02:00:00,1.03,2,0,0.1255924170616114,0.765,0.5,1.15
2026-01-12 03:00:00,0.65,3,0,0.03554502369668247,1.03,0.765,0.5
2026-01-12 04:00:00,1.16,4,0,0.15639810426540285,0.65,1.03,0.765
2026-01-12 05:00:00,1.64,5,0,0.2701421800947867,1.16,0.65,1.03
2026-01-12 06:00:00,2.29,6,0,0.42417061611374407,1.64,1.16,0.65
2026-01-12 07:00:00,2.1,7,0,0.37914691943127965,2.29,1.64,1.16
2026-01-12 08:00:00,2.98,8,0,0.5876777251184834,2.1,2.29,1.64
2026-01-12 09:00:00,3.06,9,0,0.6066350710900474,2.98,2.1,2.29
2026-01-12 10:00:00,3.1,10,0,0.6161137440758294,3.06,2.98,2.1
2026-01-12 11:00:00,3.54,11,0,0.7203791469194313,3.1,3.06,2.98
2026-01-12 12:00:00,3.54,12,0,0.7203791469194313,3.54,3.1,3.06
2026-01-12 13:00:00,3.33,13,0,0.6706161137440758,3.54,3.54,3.1
2026-01-12 14:00:00,3.31,14,0,0.6658767772511849,3.33,3.54,3.54
2026-01-12 15:00:00,2.98,15,0,0.5876777251184834,3.31,3.33,3.54
2026-01-12 16:00:00,2.77,16,0,0.537914691943128,2.98,3.31,3.33
2026-01-12 17:00:00,2.52,17,0,0.4786729857819906,2.77,2.98,3.31
2026-01-12 18:00:00,2.32,18,0,0.4312796208530806,2.52,2.77,2.98
2026-01-12 19:00:00,1.36,19,0,0.20379146919431285,2.32,2.52,2.77
2026-01-12 20:00:00,1.68,20,0,0.2796208530805687,1.36,2.32,2.52
2026-01-12 21:00:00,0.55,21,0,0.0118483412322275,1.68,1.36,2.32
2026-01-12 22:00:00,0.67,22,0,0.04028436018957346,0.55,1.68,1.36
2026-01-12 23:00:00,0.615,23,0,0.027251184834123227,0.67,0.55,1.68
2026-01-13 00:00:00,0.56,0,1,0.014218009478672994,0.615,0.67,0.55
2026-01-13 01:00:00,0.5,1,1,0.0,0.56,0.615,0.67
2026-01-13 02:00:00,0.66,2,1,0.037914691943127965,0.5,0.56,0.615
2026-01-13 03:00:00,0.84,3,1,0.08056872037914692,0.66,0.5,0.56
2026-01-13 04:00:00,1.13,4,1,0.14928909952606634,0.84,0.66,0.5
2026-01-13 05:00:00,1.78,5,1,0.3033175355450237,1.13,0.84,0.66
2026-01-13 06:00:00,2.07,6,1,0.3720379146919431,1.78,1.13,0.84
2026-01-13 07:00:00,2.25,7,1,0.4146919431279621,2.07,1.78,1.13
2026-01-13 08:00:00,2.93,8,1,0.5758293838862559,2.25,2.07,1.78
2026-01-13 09:00:00,3.12,9,1,0.6208530805687205,2.93,2.25,2.07
2026-01-13 10:00:00,3.46,10,1,0.7014218009478673,3.12,2.93,2.25
2026-01-13 11:00:00,3.57,11,1,0.7274881516587678,3.46,3.12,2.93
2026-01-13 12:00:00,3.33,12,1,0.6706161137440758,3.57,3.46,3.12
2026-01-13 13:00:00,3.34,13,1,0.6729857819905213,3.33,3.57,3.46
2026-01-13 14:00:00,3.45,14,1,0.6990521327014219,3.34,3.33,3.57
2026-01-13 15:00:00,3.18,15,1,0.6350710900473934,3.45,3.34,3.33
2026-01-13 16:00:00,2.75,16,1,0.533175355450237,3.18,3.45,3.34
2026-01-13 17:00:00,2.41,17,1,0.4526066350710901,2.75,3.18,3.45
2026-01-13 18:00:00,2.26,18,1,0.41706161137440756,2.41,2.75,3.18
2026-01-13 19:00:00,1.81,19,1,0.31042654028436023,2.26,2.41,2.75
2026-01-13 20:00:00,1.36,20,1,0.20379146919431285,1.81,2.26,2.41
2026-01-13 21:00:00,0.9,21,1,0.09478672985781991,1.36,1.81,2.26
2026-01-13 22:00:00,0.66,22,1,0.037914691943127965,0.9,1.36,1.81
2026-01-13 23:00:00,0.77,23,1,0.06398104265402843,0.66,0.9,1.36
2026-01-14 00:00:00,0.67,0,2,0.04028436018957346,0.77,0.66,0.9
2026-01-14 01:00:00,0.71,1,2,0.04976303317535544,0.67,0.77,0.66
2026-01-14 02:00:00,0.96,2,2,0.10900473933649288,0.71,0.67,0.77
2026-01-14 03:00:00,0.94,3,2,0.10426540284360189,0.96,0.71,0.67
2026-01-14 04:00:00,1.39,4,2,0.21090047393364925,0.94,0.96,0.71
2026-01-14 05:00:00,1.55,5,2,0.24881516587677727,1.39,0.94,0.96
2026-01-14 06:00:00,2.06,6,2,0.3696682464454977,1.55,1.39,0.94
2026-01-14 07:00:00,2.36,7,2,0.44075829383886256,2.06,1.55,1.39
2026-01-14 08:00:00,2.77,8,2,0.537914691943128,2.36,2.06,1.55
2026-01-14 09:00:00,3.18,9,2,0.6350710900473934,2.77,2.36,2.06
2026-01-14 10:00:00,3.14,10,2,0.6255924170616114,3.18,2.77,2.36
2026-01-14 11:00:00,3.87,11,2,0.7985781990521328,3.14,3.18,2.77
2026-01-14 12:00:00,3.3,12,2,0.6635071090047393,3.87,3.14,3.18
2026-01-14 13:00:00,3.21,13,2,0.6421800947867299,3.3,3.87,3.14
2026-01-14 14:00:00,3.215,14,2,0.6433649289099526,3.21,3.3,3.87
2026-01-14 15:00:00,3.22,15,2,0.6445497630331755,3.215,3.21,3.3
2026-01-14 16:00:00,2.87,16,2,0.561611374407583,3.22,3.215,3.21
2026-01-14 17:00:00,2.51,17,2,0.476303317535545,2.87,3.22,3.215
2026-01-14 18:00:00,2.0,18,2,0.35545023696682465,2.51,2.87,3.22
2026-01-14 19:00:00,1.43,19,2,0.22037914691943128,2.0,2.51,2.87
2026-01-14 20:00:00,1.27,20,2,0.18246445497630331,1.43,2.0,2.51
2026-01-14 21:00:00,0.8,21,2,0.07109004739336494,1.27,1.43,2.0
2026-01-14 22:00:00,0.9,22,2,0.09478672985781991,0.8,1.27,1.43
2026-01-14 23:00:00,0.52,23,2,0.0047393364928910026,0.9,0.8,1.27
